code,product_name,quantity,brand,categories,ingredients,image_url,nutriscore_grade,energy_100g,fat_100g,saturated_fat_100g,proteins_100g,carbohydrates_100g,sugars_100g,fiber_100g,sodium_100g
2847600000003,METRO Chef варено-пушен шпек Бургас ~800г,1000 GRAM,METRO CHEF,Хранителни стоки > Колбаси > Колбаси > Шпек и луканка | Хранителни стоки > Нашите марки > Колбаси > Колбаси > Шпек и луканка,свинско месо говежди гел вода говежди протеини Оцветител carmines говеждо месо вода МЛЕЧЕН ПРОТЕИН сол Комплексна съставка 1 стабилизатор трифосфати ЛАКТОЗА подправки овкусител мононатриев глутамат емулгатор моно- и диглицериди на мастни киселини антиоксидант аскорбинова киселина лимонена киселина антислепващ агент силициев диоксид Комплексна съставка 2 овкусител мононатриев глутамат сол подправки декстроза декстроза екстракт от черен пипер малтодекстрин нитритна сол сол консервант натриев нитрит стабилизатор полифосфати антиоксидант аскорбинова киселина Оцветител carmines,https://cdn.metro-group.com/bg/bg_pim_318972001001_01.png?format=jpg&quality=80&dpi=72,,1415.6,28.0,13.0,19.0,3.0,1.0,,1200.0
3800849214104,Fine Life Печена капия без оцет 680г,680 GRAM,FINE LIFE,Хранителни стоки > Консерви > Зеленцучи > Кисели зеленчуци,пиперки вода сол бяла захар калциев хлорид регулатор на киселинността лимонена киселина l-аскорбинова киселина,https://cdn.metro-group.com/bg/bg_pim_337846001001_02.png?format=jpg&quality=80&dpi=72,,127.0,0.29,0.12,0.8,4.6,2.2,,2000.0
2821990000003,Brazzale Грана падано ~36кг,1000 GRAM,BRAZZALE,Хранителни стоки > Млечни продукти и яйца > Сирене и кашкавал > Твърдо сирене,"МЛЯКО, сол, сирище, консервант: ЯЙЧЕН лизозим (E1105)",https://cdn.metro-group.com/bg/bg_pim_299922001001_01.png?format=jpg&quality=80&dpi=72,,1654.0,29.0,18.0,33.0,0.0,0.0,,
5907653103490,Balviten Любимият хляб 320г,320 GRAM,BALVITEN,Хранителни стоки > Тестени изделия > Крекери и сухари,Вода царевично нишесте оризово брашно СОЕВ протеин рапично масло сгъстител: хидроксипропил метилцелулоза Глюкоза дрожди грахови влакна грахов протеин сол сгъстител: ксантанова гума брашно от елда брашно от просо.,https://cdn.metro-group.com/bg/bg_pim_321840001001_01.png?format=jpg&quality=80&dpi=72,,792.0,,,0.0,34.0,1.0,,
3800226520583,САЯНА Сирене краве 4кг,4000 GRAM,САЯНА,Хранителни стоки > Млечни продукти и яйца > Сирене и кашкавал > Сирене,"Краве МЛЯКО, закваска, мая, сол, калциев двухлорид, лимонена киселина Е330.",https://cdn.metro-group.com/bg/bg_pim_334805001001_02.png?format=jpg&quality=80&dpi=72,,983.0,17.0,11.0,14.0,,,,
3800005806280,ПОМОРИЙСКА ИЗБА Бяло вино Траминер 13 % 5 л,,POMORIE CELLAR,Хранителни стоки > Напитки > Вино > Бяло вино,Съдържа СУЛФИТИ,https://cdn.metro-group.com/bg/bg_pim_342813001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
93800217459345,"METRO Chef Хамбурски салам в естествена обвивка ~1,3кг",1000 GRAM,METRO CHEF,Хранителни стоки > Колбаси > Колбаси > Салам,механично сепарирано пилешко месо свинско месо вода свински колаген пуешко месо сланина сол екстракт от подправки растителен протеин гроздова захар подправки декстроза сушени зеленчуци ароматизант пушилен ароматизант сгъстител картофено нишесте гума гуар овкусител мононатриев глутамат динатриеви 5’-рибонуклеотиди стабилизатор трифосфати антиоксидант натриев ериторбат оцветител annatto norbixin carmine консервант натриев нитрит,https://cdn.metro-group.com/bg/bg_pim_334705001001_02.png?format=jpg&quality=80&dpi=72,,787.0,14.0,5.7,14.0,1.8,0.6,,0.0
3800050400068,OBERON Пчелен мед 900г,900 GRAM,OBERON,"Хранителни стоки > Пакетирани храни > Мед, сладка и течeн шоколад > Мед",100% пчелен мед,https://cdn.metro-group.com/bg/bg_pim_219677001001_01.png?format=jpg&quality=80&dpi=72,,1355.0,0.0,0.0,0.0,,80.0,,
7622210689610,Milka Бисквити кукис пълнеж 156г,156 GRAM,MILKA,Хранителни стоки > Захарни и солени изделия > Бисквити,"Захар, ПШЕНИЧНО брашно, дехидратирана МЛЕЧНА мазнина, слънчогледово масло, рапично масло, какаова маса, пълномаслено МЛЯКО на прах, какаово масло, ПШЕНИЧЕНО нишесте, модифицирано нишесте, ЛАКТОЗА (от МЛЯКО ), набухватели (амониеви карбонати, натриеви карбонати, дифосфати), суроватка на прах (от МЛЯКО ), нискомаслено какао на прах (0, 5%), емулгатор (СОЕВ лецитин), сол, ароматизанти (съдържа МЛЯКО ), обезмаслено МЛЯКО на прах, оцветител (каротини), СОЕВИ влакнини на прах.",https://cdn.metro-group.com/bg/bg_pim_259960001001_02.png?format=jpg&quality=80&dpi=72,,2137.0,27.0,,,62.0,39.0,,
2872070000000,ЕЛЕНА Краве сирене ~400г,1000 GRAM,ELENA,Хранителни стоки > Млечни продукти и яйца > Сирене и кашкавал > Сирене,Краве МЛЯКО СТАРТЕРНИ МЛЕЧНОКИСЕЛИ КУЛТУРИ калциев хлорид СИРИЩЕН ЕНЗИМ сол МЛЯКО,https://cdn.metro-group.com/bg/bg_pim_138302001001_01.png?format=jpg&quality=80&dpi=72,,1117.0,22.0,,16.0,,,,
